Time,Position,Velocity
1723672562.3129838,"[ 0.00000000e+00 -2.17292640e-01  1.15891902e+00 -3.14151622e+00
 -2.48702494e-01  6.28763369e-05 -4.17903771e-01  1.57079366e+00]","[ 0.00000000e+00  2.23640717e-01  1.45080777e-01  0.00000000e+00
  2.34984801e-01 -1.05820616e-05  4.78127797e-01  0.00000000e+00]"
1723672562.314747,"[ 0.00000000e+00 -2.17070532e-01  1.15906696e+00 -3.14151622e+00
 -2.48452690e-01  6.28763369e-05 -4.17426532e-01  1.57079366e+00]","[ 0.00000000e+00  2.25261300e-01  1.50022039e-01  0.00000000e+00
  2.35220807e-01 -1.05820616e-05  4.84014681e-01  0.00000000e+00]"
1723672562.3164933,"[ 0.00000000e+00 -2.16626849e-01  1.15936856e+00 -3.14151622e+00
 -2.47988767e-01  6.28763369e-05 -4.16430510e-01  1.57079366e+00]","[ 0.00000000e+00  2.25489983e-01  1.53955562e-01  0.00000000e+00
  2.34746714e-01 -1.05819570e-05  4.84014681e-01  0.00000000e+00]"
1723672562.3176165,"[ 0.00000000e+00 -2.16163459e-01  1.15969241e+00 -3.14151622e+00
 -2.47515790e-01  6.28763369e-05 -4.15447804e-01  1.57079366e+00]","[ 0.00000000e+00  2.26881884e-01  1.58987205e-01  0.00000000e+00
  2.29703902e-01 -1.05820616e-05  4.79519298e-01  0.00000000e+00]"
1723672562.3193183,"[ 0.00000000e+00 -2.15939754e-01  1.15985259e+00 -3.14151622e+00
 -2.47291019e-01  6.28763369e-05 -4.14978022e-01  1.57079366e+00]","[ 0.00000000e+00  2.26881884e-01  1.62598684e-01  0.00000000e+00
  2.27962262e-01 -1.05899522e-05  4.76935666e-01  0.00000000e+00]"
1723672562.3210056,"[ 0.00000000e+00 -2.15472635e-01  1.16019468e+00 -3.14151622e+00
 -2.46843075e-01  6.28763369e-05 -4.14040589e-01  1.57079366e+00]","[0.         0.22898676 0.16851641 0.         0.22657148 0.
 0.47375096 0.        ]"
1723672562.322708,"[ 0.00000000e+00 -2.15244136e-01  1.16038989e+00 -3.14151622e+00
 -2.46622565e-01  6.28763369e-05 -4.13537252e-01  1.57079366e+00]","[0.         0.23174363 0.17153753 0.         0.22341412 0.
 0.47395239 0.        ]"
1723672562.3244612,"[ 0.00000000e+00 -2.14785007e-01  1.16073423e+00 -3.14151622e+00
 -2.46166632e-01  6.28763369e-05 -4.12598754e-01  1.57079366e+00]","[0.         0.23336422 0.17556335 0.         0.22256032 0.
 0.47753235 0.        ]"
1723672562.3255832,"[ 0.00000000e+00 -2.14301910e-01  1.16109190e+00 -3.14151622e+00
 -2.45947188e-01  6.28763369e-05 -4.11613917e-01  1.57079366e+00]","[0.         0.23660538 0.17503638 0.         0.22256032 0.
 0.48097392 0.        ]"
1723672562.3272781,"[ 0.00000000e+00 -2.14068617e-01  1.16126687e+00 -3.14151622e+00
 -2.45712297e-01  6.28763369e-05 -4.11142005e-01  1.57079366e+00]","[0.         0.23636567 0.17745405 0.         0.22117778 0.
 0.47861273 0.        ]"
1723672562.3289876,"[ 0.00000000e+00 -2.13600966e-01  1.16163518e+00 -3.14151622e+00
 -2.45280332e-01  6.28763369e-05 -4.10202442e-01  1.57079366e+00]","[0.         0.23768578 0.18055328 0.         0.21823876 0.
 0.47645194 0.        ]"
1723672562.3301404,"[ 0.00000000e+00 -2.13347433e-01  1.16181521e+00 -3.14151569e+00
 -2.45066747e-01  6.28763369e-05 -4.09699104e-01  1.57079460e+00]","[0.00000000e+00 2.38731569e-01 1.82585892e-01 5.29897933e-06
 2.16398700e-01 0.00000000e+00 4.73952393e-01 1.05980643e-05]"
1723672562.3319309,"[ 0.00000000e+00 -2.12872858e-01  1.16218113e+00 -3.14151569e+00
 -2.44625195e-01  6.28763369e-05 -4.08764867e-01  1.57079460e+00]","[0.00000000e+00 2.42007340e-01 1.86367264e-01 5.29897933e-06
 2.16077989e-01 0.00000000e+00 4.72670580e-01 1.05979587e-05]"
1723672562.333638,"[ 0.00000000e+00 -2.12632640e-01  1.16236569e+00 -3.14151569e+00
 -2.44412674e-01  6.28763369e-05 -4.08298814e-01  1.57079460e+00]","[0.00000000e+00 2.43381082e-01 1.86987897e-01 5.30298914e-06
 2.15537783e-01 0.00000000e+00 4.72670580e-01 1.05979587e-05]"
1723672562.335269,"[ 0.00000000e+00 -2.12127172e-01  1.16275331e+00 -3.14151569e+00
 -2.43986569e-01  6.28763369e-05 -4.07329956e-01  1.57079460e+00]","[0.00000000e+00 2.48489674e-01 1.89608431e-01 5.29103081e-06
 2.17158366e-01 0.00000000e+00 4.73952393e-01 1.06059783e-05]"
1723672562.3369856,"[ 0.00000000e+00 -2.11634488e-01  1.16312162e+00 -3.14151569e+00
 -2.43538092e-01  6.28763369e-05 -4.06393056e-01  1.57079460e+00]","[0.00000000e+00 2.50110258e-01 1.85827058e-01 5.30298914e-06
 2.19319155e-01 0.00000000e+00 4.75911747e-01 1.05979587e-05]"
1723672562.33814,"[ 0.00000000e+00 -2.11388412e-01  1.16331723e+00 -3.14151569e+00
 -2.43320246e-01  6.28763369e-05 -4.05883327e-01  1.57079460e+00]","[0.00000000e+00 2.49570069e-01 1.84064046e-01 5.29097849e-06
 2.20939739e-01 0.00000000e+00 4.79519298e-01 1.06059783e-05]"
1723672562.3398743,"[ 0.00000000e+00 -2.10875487e-01  1.16367676e+00 -3.14151569e+00
 -2.42869639e-01  6.28763369e-05 -4.04940568e-01  1.57079460e+00]","[0.00000000e+00 2.50650463e-01 1.82400902e-01 5.29097849e-06
 2.19636588e-01 0.00000000e+00 4.77532347e-01 1.05979587e-05]"
