"id","condition","AvgVelocity","MaxVelocity","AvgAccel","MaxAccel","PathLengthDifference","RangeX","RangeY","RangeZ","TimeElapsed"
"P3","H",1.035021177,2.523948773,12.11492749,62.75624935,1.367983952,0.453067023,0.621837732,0.213323362,4.633788109
"P4","B",0.27099239,1.125632703,4.374425919,65.07391468,0.761875708,0.292976502,0.038361932,0.378242885,13.96394372
"P4","C",0.289867238,1.925835224,3.694809148,64.84011572,0.02029102,0.254219532,0.055157601,0.23506774,3.849364758
"P4","D",0.356016092,1.219237568,1.795408284,62.90298924,0.135099745,0.268366729,0.011630682,0.175910742,2.525736094
"P4","E",0.389737919,2.156425197,4.147349722,66.3554076,0.592387971,0.291256236,0.305320127,0.377904853,8.020633698
"P4","F",0.707306843,6.623949333,9.815877162,129.9458632,0.221243259,0.271842544,0.073515949,0.365619352,10.18918347
"P4","G",1.21699697,9.556255418,18.08977407,481.774327,0.776794192,0.413154036,0.150438763,0.525527715,10.35797763
"P4","H",1.523187887,9.705687423,25.44459856,459.7548621,0.515837276,0.233883316,0.049648034,0.516544435,5.18379879
"P5","A",0.523729461,1.156859084,5.770797471,62.4429408,0.255668075,0.381313287,0.086125866,0.377527703,3.215250731
"P5","C",0.195393179,1.087162387,3.129337027,63.43441633,0.017404439,0.273082004,0.064704094,0.325122358,2.763525724
"P5","D",1.574058855,9.547417428,29.94484109,493.7962848,0.321548856,0.350206692,0.056488775,0.387071006,3.361158848
"P5","E",0.399441365,6.236960899,3.745659506,60.20733274,0.896149535,0.322622402,0.375938465,0.630604375,8.198675632
"P5","F",0.34208757,1.280183907,2.267817765,61.93891966,0.387914524,0.28935504,0.357611566,0.363084039,3.836488485
"P5","G",0.194796296,1.071108649,2.941170692,62.94786297,0.035104713,0.281705893,0.087921502,0.294696035,3.635298014
"P6","C",0.518985902,1.864481728,8.731186485,124.3384064,0.067135659,0.305719193,0.028705279,0.315109216,3.253656626
"P6","D",2.764239144,9.674649051,87.08666849,781.7760956,0.707076316,0.365530869,0.368156842,0.370073003,5.848820448
"P6","G",0.975971514,5.830609102,10.83935918,68.84197959,0.144951347,0.375024457,0.015015421,0.327187346,5.271612406
"P7","A",1.854812131,9.54144435,25.21802417,469.9225401,0.111109373,0.343642982,0.048309356,0.364500853,3.468547344
"P7","B",0.656997816,4.758037536,8.192074274,64.52814086,0.011788937,0.287369215,0.037069368,0.350072857,3.566918135
"P7","C",1.052789086,3.702871797,13.56334454,59.51746844,0.016925421,0.279684273,0.073704514,0.336375469,2.243033886
"P7","D",0.65549915,8.378997372,8.816296562,125.7369864,0.928839282,0.323182427,0.107833014,0.384003348,11.22141933
"P7","E",3.733116647,9.982398768,76.57348927,501.631071,0.338776441,0.299176253,0.214363648,0.368244336,5.538336754
"P7","F",1.052392442,8.485332529,12.43090842,95.62737065,0.072456144,0.303899889,0.058284959,0.364398149,3.084240198
"P7","G",0.9161798,4.78550472,11.07585406,60.29386161,0.053409181,0.328221361,0.037137697,0.374558573,3.951260805
"P7","H",1.305508494,8.487823507,15.91027847,112.6101668,0.071198023,0.366840349,0.0333583,0.374889816,2.527024508
"P8","A",0.508825338,2.935117712,4.572371986,113.8564255,1.331196816,0.324449072,0.145779062,0.445158612,6.512678623
"P8","B",0.287846228,2.119727632,3.582162018,63.96177365,0.480722636,0.322560017,0.13710248,0.379120502,9.220123768
"P8","C",0.611837131,2.707415473,10.38161527,64.83893329,0.041507441,0.177071201,0.04661155,0.073656626,2.07466507
"P8","D",0.987039771,6.039073623,9.537932179,99.43373657,1.738661145,0.34948358,0.320414146,0.696435943,7.442134619
"P8","E",2.103549546,9.922528968,26.10952958,542.849979,1.764188799,0.34175437,0.411604384,0.701552373,15.67313719
"P8","F",0.921400824,7.517873517,10.89737331,104.0248959,0.89834021,0.273554251,0.252551141,0.539908461,15.98009491
"P8","G",0.697628207,9.528640356,9.938999446,434.3208364,0.593856946,0.264664236,0.245596501,0.378344255,14.08519292
"P8","H",1.337237156,5.911823415,20.20735265,124.0648993,0.508881707,0.280251171,0.193680285,0.37038285,3.618781805
"P9","A",2.93921035,8.491535974,21.1441943,114.761549,0.252602305,0.287273848,0.072203654,0.434001439,2.979266405
"P9","B",0.550801227,2.971897011,9.771530007,63.56779609,0.042255656,0.318176009,0.036738992,0.296067737,2.949056149
"P9","C",0.586666512,1.875635926,10.09082109,59.92136541,0.026782394,0.298672737,0.033284249,0.327404243,3.102148533
"P9","D",1.520405724,9.537663727,24.12483527,498.9206409,0.373566331,0.295092108,0.062319488,0.288067678,7.030106544
"P9","E",2.214123959,8.510946739,18.58530629,61.57486003,0.118554678,0.291026604,0.029933204,0.342220725,2.642642021
"P9","F",1.805974761,8.490005671,23.56626702,421.4090611,0.098954271,0.285738096,0.023366146,0.373307638,4.794533968
"P9","G",0.480762199,2.954873187,6.428366329,63.58113479,0.051892593,0.29955186,0.035087388,0.320468113,3.68376565
